MM/DD/YYYY,ID,YEAR,MONTH,DAY,PRCP,SNOW
1906-11-01,CA003020702,1906,11,1,0.0,0.0
1906-11-02,CA003020702,1906,11,2,23.0,23.0
1906-11-03,CA003020702,1906,11,3,0.0,0.0
1906-11-04,CA003020702,1906,11,4,18.0,18.0
1906-11-05,CA003020702,1906,11,5,0.0,0.0
1906-11-06,CA003020702,1906,11,6,0.0,0.0
1906-11-07,CA003020702,1906,11,7,0.0,0.0
1906-11-08,CA003020702,1906,11,8,20.0,20.0
1906-11-09,CA003020702,1906,11,9,0.0,0.0
1906-11-10,CA003020702,1906,11,10,0.0,0.0
1906-11-11,CA003020702,1906,11,11,0.0,0.0
1906-11-12,CA003020702,1906,11,12,0.0,0.0
1906-11-13,CA003020702,1906,11,13,0.0,0.0
1906-11-14,CA003020702,1906,11,14,0.0,0.0
1906-11-15,CA003020702,1906,11,15,475.0,475.0
1906-11-16,CA003020702,1906,11,16,71.0,71.0
1906-11-17,CA003020702,1906,11,17,0.0,0.0
1906-11-18,CA003020702,1906,11,18,0.0,0.0
1906-11-19,CA003020702,1906,11,19,15.0,15.0
1906-11-20,CA003020702,1906,11,20,0.0,0.0
1906-11-21,CA003020702,1906,11,21,0.0,0.0
1906-11-22,CA003020702,1906,11,22,0.0,0.0
1906-11-23,CA003020702,1906,11,23,0.0,0.0
1906-11-24,CA003020702,1906,11,24,51.0,51.0
1906-11-25,CA003020702,1906,11,25,160.0,160.0
1906-11-26,CA003020702,1906,11,26,0.0,0.0
1906-11-27,CA003020702,1906,11,27,0.0,0.0
1906-11-28,CA003020702,1906,11,28,0.0,0.0
1906-11-29,CA003020702,1906,11,29,0.0,0.0
1906-11-30,CA003020702,1906,11,30,0.0,0.0
1906-12-01,CA003020702,1906,12,1,0.0,0.0
1906-12-02,CA003020702,1906,12,2,0.0,0.0
1906-12-03,CA003020702,1906,12,3,0.0,0.0
1906-12-04,CA003020702,1906,12,4,18.0,18.0
1906-12-05,CA003020702,1906,12,5,0.0,0.0
1906-12-06,CA003020702,1906,12,6,0.0,0.0
1906-12-07,CA003020702,1906,12,7,51.0,51.0
1906-12-08,CA003020702,1906,12,8,0.0,0.0
1906-12-09,CA003020702,1906,12,9,0.0,0.0
1906-12-10,CA003020702,1906,12,10,0.0,0.0
1906-12-11,CA003020702,1906,12,11,0.0,0.0
1906-12-12,CA003020702,1906,12,12,51.0,51.0
1906-12-13,CA003020702,1906,12,13,0.0,0.0
1906-12-14,CA003020702,1906,12,14,0.0,0.0
1906-12-15,CA003020702,1906,12,15,0.0,0.0
1906-12-16,CA003020702,1906,12,16,0.0,0.0
1906-12-17,CA003020702,1906,12,17,0.0,0.0
1906-12-18,CA003020702,1906,12,18,0.0,0.0
1906-12-19,CA003020702,1906,12,19,0.0,0.0
1906-12-20,CA003020702,1906,12,20,0.0,0.0
1906-12-21,CA003020702,1906,12,21,0.0,0.0
1906-12-22,CA003020702,1906,12,22,0.0,0.0
