MM/DD/YYYY,ID,YEAR,MONTH,DAY,WT06,TMIN,SNWD,TOBS,TMAX,MDSF,SNOW,WT11,WT09,DAPR,WT14,WT03,WT05,WT04,PRCP,WT01,MDPR,DASF
1979-03-02,USC00323117,1979,03,2,1.0,-122.0,559.0,-50.0,-50.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan
1979-12-23,USC00323117,1979,12,23,1.0,-61.0,0.0,-44.0,-6.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan
1979-12-24,USC00323117,1979,12,24,1.0,-67.0,0.0,-61.0,-39.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan
1980-02-21,USC00323117,1980,02,21,1.0,-67.0,102.0,-11.0,-11.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan
1980-02-22,USC00323117,1980,02,22,1.0,-56.0,102.0,-56.0,6.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan
1980-12-06,USC00323117,1980,12,6,1.0,-100.0,0.0,-89.0,-11.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan
1981-02-27,USC00323117,1981,02,27,1.0,-72.0,0.0,0.0,83.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan
1981-12-01,USC00323117,1981,12,1,1.0,-39.0,51.0,-39.0,-6.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan
1981-12-21,USC00323117,1981,12,21,1.0,-78.0,76.0,-67.0,-28.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,38.0,nan,nan,nan
1983-12-04,USC00323117,1983,12,4,1.0,-144.0,51.0,-94.0,-6.0,nan,0.0,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan
1983-12-11,USC00323117,1983,12,11,1.0,-133.0,102.0,-67.0,-56.0,nan,51.0,nan,nan,nan,nan,nan,nan,1.0,43.0,1.0,nan,nan
1983-12-26,USC00323117,1983,12,26,1.0,-211.0,152.0,-144.0,-122.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan
1984-01-29,USC00323117,1984,01,29,1.0,-78.0,51.0,-44.0,0.0,nan,13.0,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan
1984-02-12,USC00323117,1984,02,12,1.0,-11.0,51.0,0.0,11.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,15.0,1.0,nan,nan
1984-02-13,USC00323117,1984,02,13,1.0,-22.0,51.0,-22.0,6.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,25.0,1.0,nan,nan
