GHCND:AQC00914000,"AASUFOU, US",2012-08-31,1980-01-01
GHCND:AQC00914005,"AFONO, US",1998-09-30,1980-01-01
GHCND:AQC00914021,"AMOULI TUTUILA, US",1957-09-30,1955-04-01
GHCND:AQC00914060,"ATUU, US",1979-05-31,1977-10-01
GHCND:AQC00914135,"FAGA ALU RESERVOIR, US",1976-03-31,1963-09-01
GHCND:AQC00914138,"FAGA ALU STREAM, US",1965-06-30,1958-07-01
GHCND:AQC00914145,"FAGASA TUTUILA, US",1957-08-31,1957-03-01
GHCND:AQC00914149,"FAGA TOGO, US",1963-08-31,1958-07-01
GHCND:AQC00914397,"MALAELOA, US",1978-05-31,1967-08-01
GHCND:AQC00914594,"MALAELOA, US",1980-05-31,1978-11-01
GHCND:AQC00914822,"SWAIN ISLAND, US",1976-10-31,1968-12-01
GHCND:AQC00914869,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, US",1966-03-31,1956-04-01
GHCND:AQC00914873,"MALAELOA, US",1967-02-28,1955-04-01
GHCND:AQC00914902,"VAIPITO, US",1969-04-30,1958-07-01
GHCND:AQC00914912,"VATIA, US",1956-12-31,1955-04-01
GHCND:AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, US",2018-09-15,1945-08-01
GHCND:CA001102420,"DELTA PEBBLE HILL, WA US",1996-01-31,1961-12-01
GHCND:CA001103635,"HUNTINGDON METER STATION, WA US",1968-08-31,1961-03-01
GHCND:CA001135126,"MIDWAY, WA US",2018-08-31,1987-06-01
GHCND:CA001144230,"KINGSGATE, ID US",1962-04-30,1924-01-01
GHCND:CA001146000,"PATERSON, WA US",1963-06-30,1954-04-01
GHCND:CA004032335,"EAST POPLAR RIVER, US",1979-05-31,1961-07-01
GHCND:CA004034912,"MANKOTA 2, MT US",1984-01-31,1971-07-01
GHCND:CA004038116,"TREELON, US",2017-07-16,1971-09-01
GHCND:CA004038740,"WEST POPLAR RIVER, US",2002-06-17,1956-10-01
GHCND:CA005020882,"EMERSON AUT, ND US",2009-08-22,1997-04-01
GHCND:CA006020559,"BARWICK, MN US",2018-09-10,1978-12-01
GHCND:CA00602FQ5L,"RAINY RIVER COOPER, MN US",1993-07-31,1991-08-01
GHCND:CA006127520,"SARNIA POLYSAR, US",1973-12-31,1959-09-01
GHCND:CA006135657,"NIAGARA FALLS NPCSH, US",2011-05-25,1980-06-01
GHCND:CA006139533,"WINDSOR FORD PLANT, US",1993-11-30,1980-11-01
GHCND:CQC00914080,"CAPITOL HILL 1, US",2018-07-31,1994-12-01
GHCND:CQC00914379,"KAGMAN COMM CENTER, US",1984-09-30,1984-01-01
GHCND:CQC00914801,"ROTA AIRPORT, US",2018-09-18,1993-07-01
GHCND:CQC00914855,"SAIPAN INTERNATIONAL AIRPORT, US",2018-09-17,1988-11-01
GHCND:CQC00914860,"SAIPAN LORAN, US",1978-12-31,1954-01-01
GHCND:CQC00914861,"SAIPAN NUMBER 2, US",1963-07-31,1960-02-01
GHCND:CQC00914874,"TINIAN, US",2018-09-14,1987-10-01
GHCND:CQW00041408,"SAIPAN MARSHALL ISLANDS, US",1957-06-29,1945-11-01
GHCND:CQW00041412,"SAIPAN MARSHALL ISLANDS, US",1951-05-31,1945-07-01
GHCND:GQC00914025,"ANDERSEN AFB GUAM, US",2010-12-31,1953-01-01
GHCND:GQC00914156,"DEDEDO, US",2018-09-18,1978-07-01
GHCND:GQC00914193,"FENA FILTER PLANT, US",1958-05-31,1954-01-01
GHCND:GQC00914260,"HUGHES FARM, US",1961-10-31,1959-08-01
GHCND:GQC00914275,"INARAJAN AG STATION, US",2018-09-18,1978-07-01
GHCND:GQC00914278,"INARAJAN NASA, US",1991-10-31,1978-08-01
GHCND:GQC00914468,"MANGILAO, US",2018-07-31,1970-07-01
GHCND:GQC00914727,"PIRATES COVE, US",2018-09-18,2004-12-01
GHCND:GQC00914827,"TALOFOFO, US",1997-12-31,1996-09-01
GHCND:GQC00914828,"TALOFOFO VILLAGE, US",1969-10-31,1965-07-01
GHCND:GQC00914885,"UMATAC, US",1988-06-30,1978-08-01
GHCND:GQC00914887,"UMATAC 1, US",1999-02-28,1989-01-01
GHCND:GQC00914910,"HUGHES FARM, US",1964-06-30,1961-12-01
GHCND:GQC00914950,"YIGO, US",2012-10-31,1978-07-01
GHCND:GQW00041414,"GUAM MARSHALL ISLAND, US",1970-12-31,1949-01-01
GHCND:GQW00041415,"GUAM INTERNATIONAL AIRPORT, US",2018-09-18,1957-03-01
GHCND:MQW00022701,"MIDWAY ISLAND HENDERSON FIELD AIRPORT, US",2010-12-31,1949-01-01
GHCND:RQ1PRAC0001,"ARECIBO 5.2 ESE, US",2018-09-18,2014-09-01
GHCND:RQ1PRAC0002,"CUCHI 0.3 ENE, US",2017-07-03,2015-03-01
GHCND:RQ1PRAL0002,"AGUADILLA 2.7 NNE, US",2016-09-07,2014-06-01
GHCND:RQ1PRAL0003,"AGUADILLA 5.5 NNE, US",2018-09-18,1998-10-17
GHCND:RQ1PRAN0002,"ANASCO 0.5 SSW, US",2015-11-20,2014-06-01
GHCND:RQ1PRCG0001,"CAGUAS 1.1 WSW, US",2015-09-06,2014-06-01
GHCND:RQ1PRCG0002,"CAGUAS 1.4 SW, US",2017-09-18,2014-01-01
GHCND:RQ1PRCL0001,"CAROLINA 1.5 SSW, US",2016-03-18,2014-05-01
GHCND:RQ1PRCR0001,"CABO ROJO 0.8 SE, US",2018-09-03,1998-06-17
GHCND:RQ1PRCS0001,"CIALES 0.1 N, US",2018-09-18,2014-09-01
GHCND:RQ1PRCY0001,"CAYEY 1.6 NE, US",2016-07-18,2015-03-01
GHCND:RQ1PRFJ0002,"FAJARDO 0.4 NE, US",2017-09-29,2016-02-11
GHCND:RQ1PRGB0003,"GUARAGUAO 5.8 S, US",2015-08-06,2014-08-01
